"Archive_Date","Specialty_HIPE","Speciality","Adult_Child","Age_Profile","Time_Bands","Total"
"31/01/2021","1900.00","Paediatrics","Child","16-64"," 6-9 Months","7.00"
"31/01/2021","1900.00","Paediatrics","Child","16-64","12-15 Months","8.00"
"31/01/2021","1902.00","Paed Cardiology","Child","0-15"," 9-12 Months","286.00"
"31/01/2021","1902.00","Paed Cardiology","Child","0-15","18 Months +","171.00"
"31/01/2021","1902.00","Paed Cardiology","Child","16-64","18 Months +","18.00"
"31/01/2021","1902.00","Paed Cardiology","Child","65+"," 0-3 Months","1.00"
"31/01/2021","1903.00","Paed Oncology","Child","0-15"," 9-12 Months","2.00"
"31/01/2021","1904.00","Neonatology","Child","0-15"," 0-3 Months","9.00"
"31/01/2021","1904.00","Neonatology","Child","0-15"," 3-6 Months","4.00"
"31/01/2021","1904.00","Neonatology","Child","0-15","12-15 Months","1.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","0-15"," 9-12 Months","58.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","16-64","18 Months +","8.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","16-64","18 Months +","91.00"
"31/01/2021","1907.00","Paed Haematology","Child","16-64"," 9-12 Months","4.00"
"31/01/2021","1907.00","Paed Haematology","Child","16-64","18 Months +","1.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","0-15"," 9-12 Months","13.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","0-15"," 0-3 Months","31.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","0-15"," 3-6 Months","24.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","0-15"," 6-9 Months","5.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","0-15","12-15 Months","1.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","0-15","18 Months +","2.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","16-64"," 0-3 Months","1.00"
"31/01/2021","1911.00","Paed Nephrology","Child","16-64","18 Months +","7.00"
"31/01/2021","1912.00","Paediatric Respiratory Medicine","Child","0-15"," 3-6 Months","138.00"
"31/01/2021","1912.00","Paediatric Respiratory Medicine","Child","0-15","12-15 Months","181.00"
"31/01/2021","1912.00","Paediatric Respiratory Medicine","Child","16-64"," 9-12 Months","2.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","0-15","18 Months +","2049.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","16-64"," 0-3 Months","19.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","16-64","15-18 Months","26.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","16-64","18 Months +","377.00"
"31/01/2021","1916.00","Developmental Paediatrics","Child","0-15"," 9-12 Months","76.00"
"31/01/2021","1916.00","Developmental Paediatrics","Child","16-64","18 Months +","13.00"
"31/01/2021","2000.00","Plastic Surgery","Child","0-15"," 0-3 Months","269.00"
"31/01/2021","2000.00","Plastic Surgery","Child","0-15","18 Months +","264.00"
"31/01/2021","2000.00","Plastic Surgery","Child","16-64"," 0-3 Months","3.00"
"31/01/2021","0.00","Small Volume Specialities","Child","0-15"," 6-9 Months","2.00"
"31/01/2021","601.00","Paediatric ENT","Child","0-15"," 9-12 Months","634.00"
"31/01/2021","601.00","Paediatric ENT","Child","16-64","18 Months +","130.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","16-64"," 9-12 Months","2.00"
"31/01/2021","1402.00","Paediatric Neurosurgery","Child","0-15"," 0-3 Months","21.00"
"31/01/2021","1402.00","Paediatric Neurosurgery","Child","0-15"," 6-9 Months","4.00"
"31/01/2021","1402.00","Paediatric Neurosurgery","Child","0-15","15-18 Months","3.00"
"31/01/2021","1402.00","Paediatric Neurosurgery","Child","0-15","18 Months +","7.00"
"31/01/2021","1402.00","Paediatric Neurosurgery","Child","16-64"," 0-3 Months","5.00"
"31/01/2021","1402.00","Paediatric Neurosurgery","Child","16-64"," 3-6 Months","4.00"
"31/01/2021","1503.00","Gynaecology","Child","0-15"," 3-6 Months","46.00"
"31/01/2021","1503.00","Gynaecology","Child","0-15","12-15 Months","6.00"
"31/01/2021","1503.00","Gynaecology","Child","0-15","18 Months +","4.00"
"31/01/2021","1503.00","Gynaecology","Child","16-64"," 0-3 Months","2.00"
"31/01/2021","1503.00","Gynaecology","Child","16-64"," 6-9 Months","3.00"
"31/01/2021","1700.00","Ophthalmology","Child","0-15","18 Months +","1677.00"
"31/01/2021","1700.00","Ophthalmology","Child","16-64"," 0-3 Months","10.00"
"31/01/2021","1700.00","Ophthalmology","Child","16-64","15-18 Months","1.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","0-15"," 0-3 Months","668.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","0-15"," 3-6 Months","613.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","16-64"," 3-6 Months","22.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","16-64"," 6-9 Months","12.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","16-64","12-15 Months","21.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","16-64","15-18 Months","27.00"
"31/01/2021","1900.00","Paediatrics","Child","0-15"," 9-12 Months","194.00"
"31/01/2021","1900.00","Paediatrics","Child","16-64"," 9-12 Months","8.00"
"31/01/2021","1902.00","Paed Cardiology","Child","0-15"," 6-9 Months","368.00"
"31/01/2021","1902.00","Paed Cardiology","Child","0-15","15-18 Months","50.00"
"31/01/2021","1902.00","Paed Cardiology","Child","16-64"," 3-6 Months","21.00"
"31/01/2021","1903.00","Paed Oncology","Child","0-15"," 0-3 Months","1.00"
"31/01/2021","1903.00","Paed Oncology","Child","0-15"," 3-6 Months","1.00"
"31/01/2021","1903.00","Paed Oncology","Child","0-15"," 6-9 Months","3.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","0-15"," 0-3 Months","160.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","0-15"," 6-9 Months","60.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","0-15","15-18 Months","59.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","0-15"," 3-6 Months","147.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","0-15","15-18 Months","64.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","16-64"," 9-12 Months","5.00"
"31/01/2021","1907.00","Paed Haematology","Child","0-15"," 0-3 Months","69.00"
"31/01/2021","1907.00","Paed Haematology","Child","0-15"," 3-6 Months","55.00"
"31/01/2021","1907.00","Paed Haematology","Child","0-15","12-15 Months","13.00"
"31/01/2021","1907.00","Paed Haematology","Child","16-64"," 6-9 Months","3.00"
"31/01/2021","1907.00","Paed Haematology","Child","16-64","15-18 Months","1.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","0-15"," 0-3 Months","31.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","0-15"," 3-6 Months","18.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","0-15"," 6-9 Months","30.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","0-15","12-15 Months","25.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","0-15","15-18 Months","6.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","16-64","12-15 Months","2.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","0-15"," 9-12 Months","2.00"
"31/01/2021","1911.00","Paed Nephrology","Child","0-15"," 0-3 Months","171.00"
"31/01/2021","1911.00","Paed Nephrology","Child","0-15"," 3-6 Months","111.00"
"31/01/2021","601.00","Paediatric ENT","Child","0-15","18 Months +","1835.00"
"31/01/2021","601.00","Paediatric ENT","Child","16-64"," 0-3 Months","6.00"
"31/01/2021","601.00","Paediatric ENT","Child","16-64"," 3-6 Months","11.00"
"31/01/2021","601.00","Paediatric ENT","Child","16-64"," 9-12 Months","13.00"
"31/01/2021","601.00","Paediatric ENT","Child","16-64","12-15 Months","37.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","0-15"," 0-3 Months","325.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","0-15"," 3-6 Months","106.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","0-15"," 6-9 Months","29.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","0-15"," 9-12 Months","25.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","0-15","12-15 Months","27.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","16-64","12-15 Months","3.00"
"31/01/2021","1402.00","Paediatric Neurosurgery","Child","16-64"," 9-12 Months","1.00"
"31/01/2021","1503.00","Gynaecology","Child","0-15","15-18 Months","2.00"
"31/01/2021","1700.00","Ophthalmology","Child","0-15"," 0-3 Months","623.00"
"31/01/2021","1700.00","Ophthalmology","Child","0-15"," 3-6 Months","368.00"
"31/01/2021","1700.00","Ophthalmology","Child","0-15"," 6-9 Months","173.00"
"31/01/2021","1700.00","Ophthalmology","Child","0-15"," 9-12 Months","247.00"
"31/01/2021","1700.00","Ophthalmology","Child","0-15","12-15 Months","258.00"
"31/01/2021","1700.00","Ophthalmology","Child","16-64"," 3-6 Months","2.00"
"31/01/2021","1700.00","Ophthalmology","Child","16-64"," 6-9 Months","1.00"
"31/01/2021","1700.00","Ophthalmology","Child","16-64","12-15 Months","3.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","0-15"," 6-9 Months","398.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","0-15","12-15 Months","402.00"
"31/01/2021","1900.00","Paediatrics","Child","0-15"," 3-6 Months","790.00"
"31/01/2021","1900.00","Paediatrics","Child","0-15"," 6-9 Months","425.00"
"31/01/2021","1900.00","Paediatrics","Child","0-15","12-15 Months","159.00"
"31/01/2021","1902.00","Paed Cardiology","Child","16-64","15-18 Months","9.00"
"31/01/2021","1904.00","Neonatology","Child","0-15"," 6-9 Months","1.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","0-15"," 3-6 Months","121.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","0-15","12-15 Months","75.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","0-15","18 Months +","45.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","16-64"," 0-3 Months","8.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","16-64"," 3-6 Months","7.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","16-64"," 6-9 Months","2.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","16-64"," 9-12 Months","6.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","16-64","12-15 Months","7.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","0-15"," 0-3 Months","264.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","0-15"," 6-9 Months","61.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","0-15"," 9-12 Months","74.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","0-15","12-15 Months","61.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","0-15","18 Months +","458.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","16-64"," 0-3 Months","4.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","16-64"," 3-6 Months","7.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","16-64"," 6-9 Months","1.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","16-64","12-15 Months","3.00"
"31/01/2021","1907.00","Paed Haematology","Child","0-15"," 9-12 Months","32.00"
"31/01/2021","1907.00","Paed Haematology","Child","0-15","15-18 Months","4.00"
"31/01/2021","1907.00","Paed Haematology","Child","0-15","18 Months +","18.00"
"31/01/2021","1907.00","Paed Haematology","Child","16-64"," 0-3 Months","2.00"
"31/01/2021","1907.00","Paed Haematology","Child","16-64"," 3-6 Months","2.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","0-15","18 Months +","6.00"
"31/01/2021","1909.00","Paediatric Infectious Diseases","Child","16-64"," 9-12 Months","1.00"
"31/01/2021","2500.00","Rheumatology","Child","16-64"," 3-6 Months","2.00"
"31/01/2021","2500.00","Rheumatology","Child","16-64"," 6-9 Months","3.00"
"31/01/2021","2500.00","Rheumatology","Child","16-64","12-15 Months","7.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","0-15"," 0-3 Months","149.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","0-15"," 9-12 Months","127.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","0-15","18 Months +","607.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","16-64"," 3-6 Months","39.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","16-64"," 6-9 Months","38.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","16-64","12-15 Months","55.00"
"31/01/2021","7000.00","Dental Surgery","Child","16-64"," 9-12 Months","3.00"
"31/01/2021","7000.00","Dental Surgery","Child","16-64","18 Months +","11.00"
"31/01/2021","7200.00","Paediatric Surgery","Child","16-64","15-18 Months","26.00"
"31/01/2021","7803.00","Paediatric Urology","Child","0-15"," 0-3 Months","205.00"
"31/01/2021","7803.00","Paediatric Urology","Child","0-15"," 3-6 Months","172.00"
"31/01/2021","7803.00","Paediatric Urology","Child","0-15"," 6-9 Months","105.00"
"31/01/2021","7803.00","Paediatric Urology","Child","0-15"," 9-12 Months","113.00"
"31/01/2021","7803.00","Paediatric Urology","Child","0-15","12-15 Months","150.00"
"31/01/2021","7803.00","Paediatric Urology","Child","16-64","12-15 Months","1.00"
"31/01/2021","7900.00","Clinical Immunology","Child","0-15"," 0-3 Months","159.00"
"31/01/2021","7900.00","Clinical Immunology","Child","0-15"," 9-12 Months","77.00"
"31/01/2021","7900.00","Clinical Immunology","Child","0-15","18 Months +","989.00"
"31/01/2021","7900.00","Clinical Immunology","Child","16-64"," 3-6 Months","1.00"
"31/01/2021","7900.00","Clinical Immunology","Child","16-64","12-15 Months","2.00"
"31/01/2021","8004.00","Paediatric Anaesthetics","Child","0-15","18 Months +","34.00"
"31/01/2021","8004.00","Paediatric Anaesthetics","Child","16-64"," 0-3 Months","3.00"
"31/01/2021","0.00","Small Volume Specialities","Adult","16-64"," 0-3 Months","1.00"
"31/01/2021","100.00","Cardiology","Adult","16-64"," 3-6 Months","102.00"
"31/01/2021","100.00","Cardiology","Adult","16-64"," 6-9 Months","77.00"
"31/01/2021","100.00","Cardiology","Adult","16-64"," 9-12 Months","107.00"
"31/01/2021","100.00","Cardiology","Adult","16-64","12-15 Months","125.00"
"31/01/2021","300.00","Dermatology","Adult","16-64"," 3-6 Months","213.00"
"31/01/2021","300.00","Dermatology","Adult","16-64"," 6-9 Months","114.00"
"31/01/2021","300.00","Dermatology","Adult","16-64","12-15 Months","117.00"
"31/01/2021","1100.00","Haematology","Adult","16-64"," 0-3 Months","39.00"
"31/01/2021","1100.00","Haematology","Adult","16-64"," 3-6 Months","31.00"
"31/01/2021","1100.00","Haematology","Adult","16-64"," 9-12 Months","12.00"
"31/01/2021","1100.00","Haematology","Adult","16-64","12-15 Months","12.00"
"31/01/2021","1100.00","Haematology","Adult","65+"," 6-9 Months","11.00"
"31/01/2021","1300.00","Neurology","Adult","16-64"," 0-3 Months","19.00"
"31/01/2021","1300.00","Neurology","Adult","16-64"," 9-12 Months","16.00"
"31/01/2021","1300.00","Neurology","Adult","65+"," 6-9 Months","2.00"
"31/01/2021","1300.00","Neurology","Adult","65+","12-15 Months","3.00"
"31/01/2021","1800.00","Orthopaedics","Adult","65+"," 0-3 Months","99.00"
"31/01/2021","1800.00","Orthopaedics","Adult","65+"," 6-9 Months","86.00"
"31/01/2021","1800.00","Orthopaedics","Adult","65+"," 9-12 Months","91.00"
"31/01/2021","1800.00","Orthopaedics","Adult","65+","18 Months +","250.00"
"31/01/2021","2500.00","Rheumatology","Adult","16-64","15-18 Months","23.00"
"31/01/2021","2500.00","Rheumatology","Adult","65+"," 3-6 Months","17.00"
"31/01/2021","2500.00","Rheumatology","Adult","65+","12-15 Months","7.00"
"31/01/2021","2500.00","Rheumatology","Adult","65+","18 Months +","81.00"
"31/01/2021","2600.00","General Surgery","Adult","65+","15-18 Months","3.00"
"31/01/2021","5000.00","General Medicine","Adult","16-64"," 9-12 Months","157.00"
"31/01/2021","2000.00","Plastic Surgery","Child","16-64"," 3-6 Months","5.00"
"31/01/2021","2000.00","Plastic Surgery","Child","16-64","12-15 Months","15.00"
"31/01/2021","2102.00","Child/Adolescent Psychiatry","Child","0-15"," 0-3 Months","23.00"
"31/01/2021","2102.00","Child/Adolescent Psychiatry","Child","16-64","12-15 Months","1.00"
"31/01/2021","2500.00","Rheumatology","Child","0-15"," 3-6 Months","92.00"
"31/01/2021","2500.00","Rheumatology","Child","0-15"," 6-9 Months","50.00"
"31/01/2021","2500.00","Rheumatology","Child","0-15","12-15 Months","72.00"
"31/01/2021","2500.00","Rheumatology","Child","0-15","15-18 Months","57.00"
"31/01/2021","2500.00","Rheumatology","Child","16-64"," 9-12 Months","8.00"
"31/01/2021","2500.00","Rheumatology","Child","16-64","15-18 Months","13.00"
"31/01/2021","6200.00","Clinical Neurophysiology","Child","0-15"," 0-3 Months","1.00"
"31/01/2021","6200.00","Clinical Neurophysiology","Child","0-15"," 3-6 Months","2.00"
"31/01/2021","6200.00","Clinical Neurophysiology","Child","0-15"," 6-9 Months","11.00"
"31/01/2021","6200.00","Clinical Neurophysiology","Child","0-15","12-15 Months","3.00"
"31/01/2021","6200.00","Clinical Neurophysiology","Child","16-64"," 0-3 Months","2.00"
"31/01/2021","6200.00","Clinical Neurophysiology","Child","16-64"," 3-6 Months","1.00"
"31/01/2021","6200.00","Clinical Neurophysiology","Child","16-64","12-15 Months","1.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","0-15"," 3-6 Months","153.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","0-15"," 6-9 Months","97.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","0-15","12-15 Months","138.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","16-64"," 9-12 Months","47.00"
"31/01/2021","6700.00","Clinical (Medical) Genetics","Child","16-64","15-18 Months","36.00"
"31/01/2021","7000.00","Dental Surgery","Child","0-15"," 9-12 Months","69.00"
"31/01/2021","7200.00","Paediatric Surgery","Child","0-15"," 9-12 Months","422.00"
"31/01/2021","7200.00","Paediatric Surgery","Child","16-64","18 Months +","26.00"
"31/01/2021","7600.00","Cardio-Thoracic Surgery","Child","0-15"," 0-3 Months","44.00"
"31/01/2021","7600.00","Cardio-Thoracic Surgery","Child","0-15","18 Months +","7.00"
"31/01/2021","7600.00","Cardio-Thoracic Surgery","Child","16-64"," 0-3 Months","3.00"
"31/01/2021","7600.00","Cardio-Thoracic Surgery","Child","16-64"," 3-6 Months","3.00"
"31/01/2021","7600.00","Cardio-Thoracic Surgery","Child","16-64"," 6-9 Months","2.00"
"31/01/2021","7600.00","Cardio-Thoracic Surgery","Child","16-64","12-15 Months","1.00"
"31/01/2021","7803.00","Paediatric Urology","Child","0-15","18 Months +","349.00"
"31/01/2021","7803.00","Paediatric Urology","Child","16-64"," 0-3 Months","2.00"
"31/01/2021","7803.00","Paediatric Urology","Child","16-64"," 6-9 Months","1.00"
"31/01/2021","7803.00","Paediatric Urology","Child","16-64","15-18 Months","1.00"
"31/01/2021","7900.00","Clinical Immunology","Child","0-15"," 3-6 Months","86.00"
"31/01/2021","7900.00","Clinical Immunology","Child","0-15"," 6-9 Months","43.00"
"31/01/2021","7900.00","Clinical Immunology","Child","0-15","12-15 Months","120.00"
"31/01/2021","7900.00","Clinical Immunology","Child","16-64","15-18 Months","2.00"
"31/01/2021","8003.00","Pain Relief","Child","0-15"," 9-12 Months","3.00"
"31/01/2021","8004.00","Paediatric Anaesthetics","Child","16-64","18 Months +","14.00"
"31/01/2021","8800.00","Immunology","Child","0-15"," 9-12 Months","32.00"
"31/01/2021","8800.00","Immunology","Child","16-64"," 9-12 Months","1.00"
"31/01/2021","0.00","Small Volume Specialities","Adult","65+"," 0-3 Months","4.00"
"31/01/2021","100.00","Cardiology","Adult","65+","18 Months +","189.00"
"31/01/2021","300.00","Dermatology","Adult","16-64"," 0-3 Months","230.00"
"31/01/2021","300.00","Dermatology","Adult","65+"," 6-9 Months","48.00"
"31/01/2021","300.00","Dermatology","Adult","65+","12-15 Months","35.00"
"31/01/2021","300.00","Dermatology","Adult","65+","15-18 Months","28.00"
"31/01/2021","300.00","Dermatology","Child","0-15"," 0-3 Months","1.00"
"31/01/2021","300.00","Dermatology","Child","0-15"," 3-6 Months","2.00"
"31/01/2021","1911.00","Paed Nephrology","Child","0-15","12-15 Months","25.00"
"31/01/2021","1911.00","Paed Nephrology","Child","0-15","15-18 Months","31.00"
"31/01/2021","1911.00","Paed Nephrology","Child","16-64"," 6-9 Months","2.00"
"31/01/2021","1912.00","Paediatric Respiratory Medicine","Child","16-64","18 Months +","41.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","0-15"," 3-6 Months","503.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","0-15","12-15 Months","298.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","16-64"," 9-12 Months","17.00"
"31/01/2021","1916.00","Developmental Paediatrics","Child","0-15"," 0-3 Months","81.00"
"31/01/2021","1916.00","Developmental Paediatrics","Child","0-15"," 3-6 Months","49.00"
"31/01/2021","1916.00","Developmental Paediatrics","Child","0-15","12-15 Months","54.00"
"31/01/2021","1916.00","Developmental Paediatrics","Child","16-64","15-18 Months","2.00"
"31/01/2021","2000.00","Plastic Surgery","Child","0-15"," 9-12 Months","167.00"
"31/01/2021","2000.00","Plastic Surgery","Child","0-15","15-18 Months","141.00"
"31/01/2021","2000.00","Plastic Surgery","Child","16-64"," 9-12 Months","7.00"
